trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2021-05-27|Bus|Chatswood|0|<50|<50
2021-05-27|Bus|Macquarie Park|0|<50|<50
2021-05-27|Bus|Newcastle and surrounds|0|<50|<50
2021-05-27|Bus|North Sydney|0|<50|<50
2021-05-27|Bus|Other|0|600|1000
2021-05-27|Bus|Parramatta|0|<50|<50
2021-05-27|Bus|Strathfield|0|<50|<50
2021-05-27|Bus|Sydney CBD|0|400|200
2021-05-27|Bus|All - NSW|0|1000|1200
2021-05-27|Bus|Chatswood|1|<50|<50
2021-05-27|Bus|Macquarie Park|1|<50|<50
2021-05-27|Bus|North Sydney|1|<50|<50
2021-05-27|Bus|Other|1|300|500
2021-05-27|Bus|Parramatta|1|<50|<50
2021-05-27|Bus|Strathfield|1|<50|<50
2021-05-27|Bus|Sydney CBD|1|300|100
2021-05-27|Bus|All - NSW|1|600|600
2021-05-27|Bus|Chatswood|2|<50|<50
2021-05-27|Bus|Macquarie Park|2|<50|<50
2021-05-27|Bus|North Sydney|2|<50|<50
2021-05-27|Bus|Other|2|300|400
2021-05-27|Bus|Parramatta|2|<50|<50
2021-05-27|Bus|Strathfield|2|<50|<50
2021-05-27|Bus|Sydney CBD|2|200|100
2021-05-27|Bus|All - NSW|2|500|500
2021-05-27|Bus|Chatswood|3|<50|<50
2021-05-27|Bus|Macquarie Park|3|<50|<50
2021-05-27|Bus|North Sydney|3|<50|<50
2021-05-27|Bus|Other|3|300|300
2021-05-27|Bus|Parramatta|3|<50|<50
2021-05-27|Bus|Strathfield|3|<50|<50
2021-05-27|Bus|Sydney CBD|3|200|100
2021-05-27|Bus|All - NSW|3|500|400
2021-05-27|Bus|Chatswood|4|<50|<50
2021-05-27|Bus|Macquarie Park|4|<50|<50
2021-05-27|Bus|North Sydney|4|<50|<50
2021-05-27|Bus|Other|4|1300|700
2021-05-27|Bus|Parramatta|4|<50|<50
2021-05-27|Bus|Strathfield|4|<50|<50
2021-05-27|Bus|Sydney CBD|4|100|200
2021-05-27|Bus|All - NSW|4|1400|900
2021-05-27|Bus|Chatswood|5|100|<50
2021-05-27|Bus|Macquarie Park|5|100|100
2021-05-27|Bus|Newcastle and surrounds|5|<50|<50
2021-05-27|Bus|North Sydney|5|<50|<50
2021-05-27|Bus|Other|5|8600|5400
2021-05-27|Bus|Parramatta|5|400|300
2021-05-27|Bus|Strathfield|5|100|100
2021-05-27|Bus|Sydney CBD|5|700|1100
2021-05-27|Bus|Wollongong and surrounds|5|<50|<50
2021-05-27|Bus|All - NSW|5|10000|7000
2021-05-27|Bus|Chatswood|6|300|200
2021-05-27|Bus|Macquarie Park|6|200|300
2021-05-27|Bus|Newcastle and surrounds|6|<50|<50
2021-05-27|Bus|North Sydney|6|200|200
2021-05-27|Bus|Other|6|24200|18200
2021-05-27|Bus|Parramatta|6|900|900
2021-05-27|Bus|Strathfield|6|300|200
2021-05-27|Bus|Sydney CBD|6|2300|3300
2021-05-27|Bus|Wollongong and surrounds|6|100|100
2021-05-27|Bus|All - NSW|6|28500|23400
2021-05-27|Bus|Chatswood|7|600|600
2021-05-27|Bus|Macquarie Park|7|900|700
2021-05-27|Bus|Newcastle and surrounds|7|100|100
2021-05-27|Bus|North Sydney|7|500|900
2021-05-27|Bus|Other|7|64700|40000
2021-05-27|Bus|Parramatta|7|1700|2000
2021-05-27|Bus|Strathfield|7|500|500
2021-05-27|Bus|Sydney CBD|7|3100|9600
2021-05-27|Bus|Wollongong and surrounds|7|300|600
2021-05-27|Bus|All - NSW|7|72400|55000
2021-05-27|Bus|Chatswood|8|800|800
2021-05-27|Bus|Macquarie Park|8|800|1100
2021-05-27|Bus|Newcastle and surrounds|8|100|100
2021-05-27|Bus|North Sydney|8|1000|2000
2021-05-27|Bus|Other|8|67200|59800
2021-05-27|Bus|Parramatta|8|1700|2900
2021-05-27|Bus|Strathfield|8|600|600
2021-05-27|Bus|Sydney CBD|8|4400|19600
2021-05-27|Bus|Wollongong and surrounds|8|600|900
2021-05-27|Bus|All - NSW|8|77200|87800
2021-05-27|Bus|Chatswood|9|300|500
2021-05-27|Bus|Macquarie Park|9|400|900
2021-05-27|Bus|Newcastle and surrounds|9|100|100
2021-05-27|Bus|North Sydney|9|300|800
