trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2021-04-19|Bus|Chatswood|0|<50|<50
2021-04-19|Bus|Macquarie Park|0|<50|<50
2021-04-19|Bus|Newcastle and surrounds|0|<50|<50
2021-04-19|Bus|North Sydney|0|<50|<50
2021-04-19|Bus|Other|0|500|700
2021-04-19|Bus|Parramatta|0|<50|<50
2021-04-19|Bus|Strathfield|0|<50|<50
2021-04-19|Bus|Sydney CBD|0|300|100
2021-04-19|Bus|All - NSW|0|800|800
2021-04-19|Bus|Chatswood|1|<50|<50
2021-04-19|Bus|Macquarie Park|1|<50|<50
2021-04-19|Bus|North Sydney|1|<50|<50
2021-04-19|Bus|Other|1|200|400
2021-04-19|Bus|Parramatta|1|<50|<50
2021-04-19|Bus|Strathfield|1|<50|<50
2021-04-19|Bus|Sydney CBD|1|300|100
2021-04-19|Bus|All - NSW|1|500|500
2021-04-19|Bus|Chatswood|2|<50|<50
2021-04-19|Bus|Macquarie Park|2|<50|<50
2021-04-19|Bus|North Sydney|2|<50|<50
2021-04-19|Bus|Other|2|300|400
2021-04-19|Bus|Parramatta|2|<50|<50
2021-04-19|Bus|Strathfield|2|<50|<50
2021-04-19|Bus|Sydney CBD|2|200|100
2021-04-19|Bus|All - NSW|2|500|500
2021-04-19|Bus|Chatswood|3|<50|<50
2021-04-19|Bus|Macquarie Park|3|<50|<50
2021-04-19|Bus|North Sydney|3|<50|<50
2021-04-19|Bus|Other|3|300|300
2021-04-19|Bus|Parramatta|3|<50|<50
2021-04-19|Bus|Strathfield|3|<50|<50
2021-04-19|Bus|Sydney CBD|3|200|100
2021-04-19|Bus|All - NSW|3|500|400
2021-04-19|Bus|Chatswood|4|<50|<50
2021-04-19|Bus|Macquarie Park|4|<50|<50
2021-04-19|Bus|North Sydney|4|<50|<50
2021-04-19|Bus|Other|4|1200|700
2021-04-19|Bus|Parramatta|4|<50|<50
2021-04-19|Bus|Strathfield|4|<50|<50
2021-04-19|Bus|Sydney CBD|4|100|200
2021-04-19|Bus|All - NSW|4|1300|900
2021-04-19|Bus|Chatswood|5|100|<50
