trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-03-14|Bus|Chatswood|0|<50|<50
2020-03-14|Bus|Macquarie Park|0|<50|<50
2020-03-14|Bus|Newcastle and surrounds|0|<50|<50
2020-03-14|Bus|North Sydney|0|<50|<50
2020-03-14|Bus|Other|0|2000|3300
2020-03-14|Bus|Parramatta|0|100|100
2020-03-14|Bus|Strathfield|0|<50|<50
2020-03-14|Bus|Sydney CBD|0|1300|400
2020-03-14|Bus|All - NSW|0|3400|3800
2020-03-14|Bus|Chatswood|1|<50|<50
2020-03-14|Bus|Macquarie Park|1|<50|<50
2020-03-14|Bus|Newcastle and surrounds|1|<50|<50
2020-03-14|Bus|North Sydney|1|<50|<50
2020-03-14|Bus|Other|1|1100|2000
2020-03-14|Bus|Parramatta|1|100|<50
2020-03-14|Bus|Strathfield|1|<50|<50
2020-03-14|Bus|Sydney CBD|1|1100|300
2020-03-14|Bus|All - NSW|1|2300|2300
2020-03-14|Bus|Chatswood|2|<50|<50
2020-03-14|Bus|Macquarie Park|2|<50|<50
2020-03-14|Bus|Newcastle and surrounds|2|<50|<50
2020-03-14|Bus|North Sydney|2|<50|<50
2020-03-14|Bus|Other|2|800|1600
2020-03-14|Bus|Parramatta|2|<50|100
2020-03-14|Bus|Strathfield|2|<50|100
2020-03-14|Bus|Sydney CBD|2|1200|300
2020-03-14|Bus|All - NSW|2|2000|2100
2020-03-14|Bus|Chatswood|3|<50|<50
2020-03-14|Bus|Macquarie Park|3|<50|<50
2020-03-14|Bus|North Sydney|3|<50|<50
2020-03-14|Bus|Other|3|600|1200
2020-03-14|Bus|Parramatta|3|<50|100
2020-03-14|Bus|Strathfield|3|<50|100
2020-03-14|Bus|Sydney CBD|3|900|200
2020-03-14|Bus|All - NSW|3|1500|1600
2020-03-14|Bus|Chatswood|4|<50|<50
2020-03-14|Bus|Macquarie Park|4|<50|<50
2020-03-14|Bus|North Sydney|4|<50|<50
2020-03-14|Bus|Other|4|600|900
2020-03-14|Bus|Parramatta|4|<50|<50
2020-03-14|Bus|Strathfield|4|<50|<50
2020-03-14|Bus|Sydney CBD|4|400|300
2020-03-14|Bus|All - NSW|4|1000|1200
2020-03-14|Bus|Chatswood|5|<50|<50
2020-03-14|Bus|Macquarie Park|5|<50|<50
2020-03-14|Bus|Newcastle and surrounds|5|<50|<50
2020-03-14|Bus|North Sydney|5|<50|<50
2020-03-14|Bus|Other|5|2200|1600
2020-03-14|Bus|Parramatta|5|100|100
2020-03-14|Bus|Strathfield|5|<50|<50
2020-03-14|Bus|Sydney CBD|5|400|400
2020-03-14|Bus|All - NSW|5|2700|2100
2020-03-14|Bus|Chatswood|6|100|<50
2020-03-14|Bus|Macquarie Park|6|<50|100
2020-03-14|Bus|Newcastle and surrounds|6|<50|<50
2020-03-14|Bus|North Sydney|6|<50|<50
2020-03-14|Bus|Other|6|6200|5600
2020-03-14|Bus|Parramatta|6|300|200
2020-03-14|Bus|Strathfield|6|100|100
2020-03-14|Bus|Sydney CBD|6|1100|1100
2020-03-14|Bus|Wollongong and surrounds|6|<50|<50
2020-03-14|Bus|All - NSW|6|7800|7100
2020-03-14|Bus|Chatswood|7|100|100
2020-03-14|Bus|Macquarie Park|7|100|100
2020-03-14|Bus|Newcastle and surrounds|7|<50|<50
2020-03-14|Bus|North Sydney|7|100|100
