trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2022-09-13|Bus|Chatswood|0|<50|<50
2022-09-13|Bus|Macquarie Park|0|<50|<50
2022-09-13|Bus|North Sydney|0|<50|<50
2022-09-13|Bus|Other|0|500|900
2022-09-13|Bus|Parramatta|0|<50|<50
2022-09-13|Bus|Strathfield|0|<50|<50
2022-09-13|Bus|Sydney CBD|0|300|100
2022-09-13|Bus|All - NSW|0|800|1000
2022-09-13|Bus|Chatswood|1|<50|<50
2022-09-13|Bus|Macquarie Park|1|<50|<50
2022-09-13|Bus|North Sydney|1|<50|<50
2022-09-13|Bus|Other|1|200|400
2022-09-13|Bus|Parramatta|1|<50|<50
2022-09-13|Bus|Strathfield|1|<50|<50
2022-09-13|Bus|Sydney CBD|1|200|100
2022-09-13|Bus|All - NSW|1|400|500
2022-09-13|Bus|Chatswood|2|<50|<50
2022-09-13|Bus|Macquarie Park|2|<50|<50
2022-09-13|Bus|North Sydney|2|<50|<50
2022-09-13|Bus|Other|2|200|300
2022-09-13|Bus|Parramatta|2|<50|<50
2022-09-13|Bus|Strathfield|2|<50|<50
2022-09-13|Bus|Sydney CBD|2|200|100
2022-09-13|Bus|All - NSW|2|400|400
2022-09-13|Bus|Chatswood|3|<50|<50
2022-09-13|Bus|Macquarie Park|3|<50|<50
2022-09-13|Bus|North Sydney|3|<50|<50
2022-09-13|Bus|Other|3|300|300
2022-09-13|Bus|Parramatta|3|<50|<50
2022-09-13|Bus|Strathfield|3|<50|<50
2022-09-13|Bus|Sydney CBD|3|200|100
2022-09-13|Bus|All - NSW|3|500|400
2022-09-13|Bus|Chatswood|4|<50|<50
2022-09-13|Bus|Macquarie Park|4|<50|<50
2022-09-13|Bus|North Sydney|4|<50|<50
2022-09-13|Bus|Other|4|1400|800
2022-09-13|Bus|Parramatta|4|<50|<50
2022-09-13|Bus|Strathfield|4|<50|<50
2022-09-13|Bus|Sydney CBD|4|100|200
2022-09-13|Bus|All - NSW|4|1500|1000
2022-09-13|Bus|Chatswood|5|100|<50
2022-09-13|Bus|Macquarie Park|5|100|100
2022-09-13|Bus|Newcastle and surrounds|5|<50|<50
2022-09-13|Bus|North Sydney|5|<50|<50
2022-09-13|Bus|Other|5|8700|5800
2022-09-13|Bus|Parramatta|5|400|300
2022-09-13|Bus|Strathfield|5|100|100
2022-09-13|Bus|Sydney CBD|5|700|1100
2022-09-13|Bus|Wollongong and surrounds|5|<50|<50
2022-09-13|Bus|All - NSW|5|10100|7400
2022-09-13|Bus|Chatswood|6|200|200
2022-09-13|Bus|Macquarie Park|6|200|300
2022-09-13|Bus|Newcastle and surrounds|6|<50|<50
2022-09-13|Bus|North Sydney|6|100|200
2022-09-13|Bus|Other|6|24200|17900
2022-09-13|Bus|Parramatta|6|1000|900
2022-09-13|Bus|Strathfield|6|300|200
