trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2022-10-21|Bus|Chatswood|0|<50|<50
2022-10-21|Bus|Macquarie Park|0|<50|100
2022-10-21|Bus|Newcastle and surrounds|0|<50|<50
2022-10-21|Bus|North Sydney|0|<50|<50
2022-10-21|Bus|Other|0|1100|2300
2022-10-21|Bus|Parramatta|0|100|<50
2022-10-21|Bus|Strathfield|0|<50|<50
2022-10-21|Bus|Sydney CBD|0|1000|200
2022-10-21|Bus|All - NSW|0|2200|2600
2022-10-21|Bus|Chatswood|1|<50|<50
2022-10-21|Bus|Macquarie Park|1|<50|<50
2022-10-21|Bus|North Sydney|1|<50|<50
2022-10-21|Bus|Other|1|400|800
2022-10-21|Bus|Parramatta|1|<50|<50
2022-10-21|Bus|Strathfield|1|<50|100
2022-10-21|Bus|Sydney CBD|1|600|200
2022-10-21|Bus|All - NSW|1|1000|1100
2022-10-21|Bus|Chatswood|2|<50|<50
2022-10-21|Bus|Macquarie Park|2|<50|<50
2022-10-21|Bus|North Sydney|2|<50|<50
2022-10-21|Bus|Other|2|300|700
2022-10-21|Bus|Parramatta|2|<50|<50
2022-10-21|Bus|Strathfield|2|<50|<50
2022-10-21|Bus|Sydney CBD|2|500|100
2022-10-21|Bus|All - NSW|2|800|800
2022-10-21|Bus|Chatswood|3|<50|<50
2022-10-21|Bus|Macquarie Park|3|<50|<50
2022-10-21|Bus|North Sydney|3|<50|<50
2022-10-21|Bus|Other|3|300|500
2022-10-21|Bus|Parramatta|3|<50|<50
2022-10-21|Bus|Strathfield|3|<50|<50
2022-10-21|Bus|Sydney CBD|3|300|100
2022-10-21|Bus|All - NSW|3|600|600
2022-10-21|Bus|Chatswood|4|<50|<50
2022-10-21|Bus|Macquarie Park|4|<50|<50
2022-10-21|Bus|North Sydney|4|<50|<50
2022-10-21|Bus|Other|4|1400|900
2022-10-21|Bus|Parramatta|4|<50|100
2022-10-21|Bus|Strathfield|4|<50|<50
2022-10-21|Bus|Sydney CBD|4|200|200
2022-10-21|Bus|All - NSW|4|1600|1200
2022-10-21|Bus|Chatswood|5|100|<50
2022-10-21|Bus|Macquarie Park|5|100|100
