trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2022-09-08|Bus|Chatswood|0|<50|<50
2022-09-08|Bus|Macquarie Park|0|<50|<50
2022-09-08|Bus|Newcastle and surrounds|0|<50|<50
2022-09-08|Bus|North Sydney|0|<50|<50
2022-09-08|Bus|Other|0|600|1100
2022-09-08|Bus|Parramatta|0|<50|<50
2022-09-08|Bus|Strathfield|0|<50|<50
2022-09-08|Bus|Sydney CBD|0|400|200
2022-09-08|Bus|All - NSW|0|1000|1300
2022-09-08|Bus|Chatswood|1|<50|<50
2022-09-08|Bus|Macquarie Park|1|<50|<50
2022-09-08|Bus|North Sydney|1|<50|<50
2022-09-08|Bus|Other|1|300|600
2022-09-08|Bus|Parramatta|1|<50|<50
2022-09-08|Bus|Strathfield|1|<50|<50
2022-09-08|Bus|Sydney CBD|1|300|100
2022-09-08|Bus|All - NSW|1|600|700
2022-09-08|Bus|Chatswood|2|<50|<50
2022-09-08|Bus|Macquarie Park|2|<50|<50
2022-09-08|Bus|North Sydney|2|<50|<50
2022-09-08|Bus|Other|2|200|400
2022-09-08|Bus|Parramatta|2|<50|<50
2022-09-08|Bus|Strathfield|2|<50|<50
2022-09-08|Bus|Sydney CBD|2|400|100
2022-09-08|Bus|All - NSW|2|600|500
2022-09-08|Bus|Chatswood|3|<50|<50
2022-09-08|Bus|Macquarie Park|3|<50|<50
2022-09-08|Bus|North Sydney|3|<50|<50
2022-09-08|Bus|Other|3|300|300
2022-09-08|Bus|Parramatta|3|<50|<50
2022-09-08|Bus|Strathfield|3|<50|<50
2022-09-08|Bus|Sydney CBD|3|200|100
2022-09-08|Bus|All - NSW|3|500|400
2022-09-08|Bus|Chatswood|4|<50|<50
2022-09-08|Bus|Macquarie Park|4|<50|<50
2022-09-08|Bus|North Sydney|4|<50|<50
2022-09-08|Bus|Other|4|1400|900
2022-09-08|Bus|Parramatta|4|<50|<50
2022-09-08|Bus|Strathfield|4|<50|<50
2022-09-08|Bus|Sydney CBD|4|200|200
2022-09-08|Bus|All - NSW|4|1600|1100
2022-09-08|Bus|Chatswood|5|100|<50
2022-09-08|Bus|Macquarie Park|5|100|100
2022-09-08|Bus|Newcastle and surrounds|5|<50|<50
2022-09-08|Bus|North Sydney|5|100|<50
2022-09-08|Bus|Other|5|8700|5600
2022-09-08|Bus|Parramatta|5|300|300
2022-09-08|Bus|Strathfield|5|100|<50
2022-09-08|Bus|Sydney CBD|5|700|1000
2022-09-08|Bus|Wollongong and surrounds|5|<50|<50
2022-09-08|Bus|All - NSW|5|10100|7000
2022-09-08|Bus|Chatswood|6|300|100
